,att_all_ave,att_AD_ave,att_SCZ_ave,att_dat_ave
Astro:TCF7L2 -> GLIS3,0.38563624749589054,0.047074776384433074,0.08091028775358337,0.37635530827886854
Astro:TCF7L1 -> ATP1A2,3.1070995549686185e-07,0.0008545721020004331,2.120344425002404e-05,3.006735542448114e-09
Oligo:IKZF1 -> FMNL3,0.7443892280292499,0.7021623211525485,0.6761105978490132,0.82887193137398
Micro:TAL1 -> FGD2,0.7071739865630613,0.5904951796852407,0.8721515184957727,0.45023206232598745
Oligo:IKZF1 -> FLI1,0.866285564883436,0.48821564208142376,0.3291517264239231,0.3017764731522398
Micro:IRF8 -> IL13RA1,0.8991743516587927,0.6268021584110448,0.4543230240907654,0.5480640342341341
Oligo:IKZF1 -> DOCK8,0.6360065968068194,0.9806405277911285,0.7857116956140213,0.307986450225052
Oligo:FLI1 -> MSR1,0.09724733366146411,0.08952596089349345,0.0503837948963132,0.21303084382551504
Oligo:RUNX1 -> CTSC,0.7012578169702344,0.7319667284105424,0.6833930343759242,0.7212282000042178
Oligo:ETV6 -> SAT1,0.5089099257110239,0.18094292075040502,0.2312653017858942,0.9369666897678173
Oligo:FLI1 -> IRAK3,0.03170834506623779,0.048213033292683935,0.020645955744085752,0.04692271335512611
Astro:SOX5 -> PTPRZ1,0.12010125533547289,0.2985230456229577,0.41549999701798845,0.0709552854613629
Oligo:IKZF1 -> PLA2G4A,0.04654942054821365,0.17151681933790322,0.07914273545481372,0.019887139542949142
Oligo:IKZF1 -> AOAH,0.3590504462942352,0.3902463134730497,0.4281928337532088,0.3475499055683793
OPC:ZEB1 -> ZEB1-AS1,0.02998600518700117,0.021185600543735677,0.013113026402129213,0.1333795735470001
Oligo:FLI1 -> ARHGAP15,0.6976760218191703,0.9618622229919851,0.18017113448551894,0.9380137893639879
Oligo:RUNX1 -> RIN3,0.015223159602682194,0.01055716397278439,0.018664144514805022,0.0319231565336381
Micro:TAL1 -> CSF1R,0.46265745743635034,0.543143983227323,0.6312855296632911,0.40125651949179975
Oligo:RUNX1 -> LPCAT2,0.00536932193429837,0.009370687819012664,0.005112905821367674,0.008574375386407726
Oligo:IKZF1 -> PAG1,0.29416368682835276,0.092851256264121,0.21413957795086286,0.6330520613254735
Micro:IRF8 -> PTPRC,0.546718760531729,0.3160884786297429,0.5841401246232626,0.2258708249148095
OPC:ZEB1 -> DISC1,0.006838334333018444,0.12261905089599563,0.0054910436848315,0.013810895257000144
Oligo:IKZF1 -> ITGAM,0.8666085340854551,0.8113132527770375,0.914001061428453,0.6357685434482843
Astro:TCF7L2 -> EYA2,0.0030519522578086257,0.042457504715939794,0.019889324208076833,0.0003169548166680965
Oligo:RUNX1 -> FLI1,0.3842271652245458,0.4800505505226885,0.19073325041822303,0.8753541750089466
Oligo:IKZF1 -> RUNX1,0.6679084816524391,0.82942098869506,0.878597877397272,0.49966860295431104
Oligo:IKZF1 -> PALD1,0.7149784143611788,0.7801175450295965,0.9691998948229539,0.5954850297197438
PC:HES4 -> NOTCH3,0.7438192599515119,0.40473270280707196,0.5367317730140276,0.4352595444252434
Oligo:FLI1 -> IKZF1,0.2622028061475985,0.21098031522109748,0.2610030648816852,0.34493432644656696
Micro:TAL1 -> PLCG2,0.8364683402815978,0.6414697154830431,0.5607566588096806,0.7441337538914132
Oligo:FLI1 -> C22orf34,0.8307532168636989,0.8880462512917295,0.9127565073240731,0.6862469030540457
Astro:TCF7L2 -> NHSL1,0.00019974764340923665,0.01634334329811289,0.011941213301788864,4.453991617125069e-06
Oligo:FLI1 -> SLA,0.15233951720736696,0.11965098834317553,0.05842184034973274,0.28978487461157976
Oligo:FLI1 -> CARD11,0.7393762493994906,0.652206702207272,0.8603511870917199,0.7601062983143179
EN_L5_6_NP:ERG -> SLC2A1,0.02554119590480842,0.060746025638246645,0.08274440506260422,0.012002265477473942
Oligo:FLI1 -> PRKCH,0.3186741051863958,0.563554815274242,0.45220270704454646,0.20963990352686127
Oligo:FLI1 -> ARHGAP22,0.638244598032272,0.9431511312270424,0.8946881135926814,0.3830146334590703
Oligo:RUNX1 -> BHLHE41,0.5114567701643065,0.41124024379471724,0.5083605154953438,0.6144360378897831
PC:TBX15 -> SLC6A13,0.1962002699798884,0.16746717014076676,0.10514301229944549,0.37991357295752237
Oligo:FLI1 -> NFATC2,0.30693974319610273,0.09023953356607797,0.027300308939705004,0.9187293639812073
Oligo:RUNX1 -> TGFBR1,0.3673583607167512,0.46020970569383524,0.647220151372859,0.31478660377021817
Oligo:ETV6 -> FGD2,0.02507980248451904,0.1929196722320492,0.21198093696778417,0.01175267156372562
Oligo:IKZF1 -> WDFY4,0.6137650416687659,0.8859155396018589,0.5469407658666474,0.5714007976767861
Micro:TAL1 -> PALD1,0.41587755287469885,0.3404443654483954,0.43111762924640884,0.571042494481449
EN_L2_3_IT:SRRM3 -> NYAP2,0.5262210121029182,0.15418273931511745,0.13278983721917395,0.5255310355831496
Oligo:RUNX1 -> KCNK13,0.7616302608094718,0.8261187999917763,0.7223166577905118,0.765631232296869
IN_PVALB:ZMAT4 -> EPHA3,0.5008961657925574,0.5263812618142756,0.5505800861237771,0.49579706400263523
Oligo:ETV6 -> SKAP2,0.7226265599611099,0.027804894081196175,0.07038109110684505,0.47088637228987684
Oligo:ETV6 -> C3,0.2443810565475276,0.2028502994790412,0.7127498720762344,0.034215154800496334
Oligo:FLI1 -> CTSC,0.0007675060699080004,0.004373097618702084,0.0006314594568958054,0.0007825979768092609
Oligo:RUNX1 -> ETV6,0.1257606555357557,0.19094456648427902,0.6759703501062274,0.02189689065971948
Micro:IRF8 -> NFATC2,0.6551999753761089,0.6644201133744136,0.9028760241610918,0.6159757249166505
Micro:IRF8 -> DOCK2,0.2850623188939666,0.5683359893873852,0.4957612273927212,0.16761626646964928
Micro:IRF8 -> CD84,0.03570504328954542,0.3017737685663791,0.3988748247114464,0.0047042066713575675
Astro:TCF7L1 -> YAP1,6.923494582550104e-08,0.00013427236151432702,6.328468582187182e-07,4.1264924026737015e-09
Oligo:RUNX1 -> TBXAS1,0.10519102561820926,0.03883224764458016,0.013839100999554996,0.43126961989517254
OPC:ZEB1 -> PTPRG,0.0042034240112564306,0.0041596642288421505,0.002435298135782958,0.01621056959908698
Oligo:ETV6 -> APBB1IP,0.004998877599879685,0.8677321929497762,0.8796585610101075,0.0001506336606237504
Oligo:RUNX1 -> ABCC4,0.9019001458746325,0.8385967492580251,0.8453328253670215,0.9706631787243541
Oligo:FLI1 -> IL10RA,0.25530327463584884,0.6440125785333004,0.4818194828897159,0.11403541241742243
Oligo:RUNX1 -> VAV1,0.11730506851387253,0.11006034575989239,0.07690583659866775,0.19679821989681395
Oligo:RUNX1 -> LPAR6,0.3628861188492386,0.2925575977811996,0.2198866092703431,0.54280706813854
Astro:TCF7L2 -> BMPR1B,3.0231649807916343e-05,0.008228514151014053,0.0009285716595763006,2.621173117567049e-06
Oligo:FLI1 -> ATP8B4,0.033908029833877175,0.019050446783822807,0.011205196424261725,0.12460747859982213
Oligo:ETV6 -> CPED1,0.011448470854318065,0.3142361730289516,0.48991739115482713,0.001436939702632052
Micro:NFATC2 -> RREB1,0.1433229329817257,0.3932322775479724,0.024139614541771656,0.8294238275777641
Oligo:ETV6 -> CD74,0.1332171949210038,0.5876442880501063,0.6760916887525394,0.024569646536825803
Oligo:FLI1 -> BLNK,0.34031844359031616,0.24927776884953323,0.15558417814635384,0.5870723598720431
Oligo:FLI1 -> MAF,0.45482846259424603,0.8595556555668241,0.8269025242558928,0.2258667350222103
Micro:TAL1 -> SLCO2B1,0.3145257805681822,0.2171555244779796,0.06285402314192377,0.691594608755358
Oligo:FLI1 -> PLCG2,0.614344555146895,0.7131543285657633,0.9368051336551899,0.4864565122005796
Oligo:TCF12 -> PLD1,0.007252107437707138,0.2827112045163832,0.05563426139434488,0.0005662409260879618
Oligo:FLI1 -> TBC1D4,0.6146905377642423,0.6822584193876979,0.6445140009529763,0.5889186328057641
Astro:JUN -> FOS,0.2590058843935221,0.2794560824714712,0.47078981207698434,0.23372508490994162
Immune:RUNX3 -> ETS1,0.21421964506960736,0.47963049968674687,0.09653926324659606,0.2948838821550693
Micro:IRF8 -> LAT2,0.25841027745056905,0.5255117108466123,0.511050382033628,0.17386780042036185
Micro:IRF8 -> CX3CR1,0.34736710837101814,0.7286189719217018,0.8772053724728224,0.051607247568170186
Oligo:IKZF1 -> ATP8B4,0.8873321611034249,0.8790711348014,0.686615510938815,0.7176198767320254
Oligo:IKZF1 -> CIITA,0.44836100052706873,0.9928512209878587,0.8067507869994265,0.2590978995908021
OPC:ZEB1 -> COL9A1,0.060878141875558775,0.17572535816372917,0.06603127602102352,0.040658675236558514
OPC:BACH1 -> GRIK1,0.10013624704498006,0.19455265425529467,0.11654233749434033,0.06966892844164056
Micro:IRF8 -> SAMSN1,0.6235611195541422,0.17845700429671002,0.09358743317869692,0.6816920054098634
Micro:TAL1 -> DOCK8,0.621699953621309,0.7992852710063272,0.9459274862024236,0.3672476212128968
EN_L6_IT_2:CUX1 -> MCTP2,0.17121075068109232,0.11911089426332547,0.1726375818991767,0.3241743752831434
Oligo:ETV6 -> FAM149A,0.22199838787767312,0.7921793068982801,0.8607085471752576,0.052709327603848395
Oligo:FLI1 -> ABCC4,0.7718218529389187,0.9585243064220216,0.8973419714340545,0.6014413752612316
Oligo:IKZF1 -> PIK3R5,0.5858339481248176,0.11289563135067081,0.16743326100954334,0.7198280610020136
Oligo:ETV6 -> LHFPL2,0.03610389850061146,0.4412398546911511,0.3460988450183772,0.00458819721809832
Oligo:IKZF1 -> SP100,0.41153041529179224,0.5399764471132034,0.40936406188150765,0.43712606282772704
Oligo:RUNX1 -> TMEM156,0.660142715127537,0.7963042772376896,0.7043578940814261,0.6134321946646724
Oligo:FLI1 -> BACH2,0.07110689336725967,0.22690525976396908,0.1322969311160387,0.04340602241695552
Oligo:FLI1 -> KCNK13,0.0013957372540187242,0.03349259065232669,0.004653426738067276,0.000236500999352929
