edges,logFC,p_values,neg_log10_p
IN_PVALB_CHC --> IN_VIP,0.14918958215750952,0.67653656118557,0.16970872842025111
IN_PVALB_CHC --> OPC,-0.2681237949569186,0.5449752106841896,0.26362325204980996
IN_PVALB_CHC --> Oligo,-1.2752911942165603,0.24414935588796163,0.6123444171290815
IN_SST --> Astro,0.39057194593128297,0.40784413169175804,0.3895057822037543
IN_SST --> EN_L2_3_IT,1.2318687151555472,0.0006182447625700267,3.208839554055337
IN_SST --> EN_L3_5_IT_1,1.608518334152552,0.00026646161091382296,3.574365350874605
IN_SST --> EN_L3_5_IT_2,1.4642054044252077,4.787858429567873e-05,4.319858699570233
IN_SST --> EN_L3_5_IT_3,1.6302902908737718,2.4073464937588766e-05,4.618461396431442
IN_SST --> EN_L5_6_NP,1.8065837785405363,0.0018462132448477304,2.7337181377023128
IN_SST --> EN_L6B,0.5539637082141148,0.4345684519916524,0.3619418049903057
IN_SST --> EN_L6_CT,1.4465394562172411,0.003080864005349744,2.5113274717673497
IN_SST --> EN_L6_IT_1,1.0270702292146294,0.0735669483634222,1.1333172585886517
IN_SST --> EN_L6_IT_2,2.1717194781697566,0.0005173625020164765,3.2862050517645853
IN_SST --> IN_ADARB2,2.111317279187072,3.809423935206311e-10,9.419140693793286
IN_SST --> IN_LAMP5_LHX6,1.670705681104261,0.0004818386262802851,3.317098388007288
IN_SST --> IN_LAMP5_RELN,1.6601470358617703,1.0847769483380065e-05,4.964659552197487
IN_SST --> IN_PVALB,1.274525846476477,0.00019665353382050324,3.7062982450083397
IN_SST --> IN_PVALB_CHC,2.367700829444578,4.392285299278378e-08,7.357309458203197
IN_SST --> IN_SST,0.5632917867585202,7.109983269063273e-08,7.148131421233954
IN_SST --> IN_VIP,1.2934746477851775,0.0002357180197468832,3.6276072160437725
IN_SST --> OPC,0.7306406926344545,0.07673621878865872,1.1149996046644008
IN_SST --> Oligo,0.1659963802562021,0.7885894048895284,0.1031490621967595
IN_VIP --> Astro,0.505645460146668,0.06435620581754618,1.191409568070144
IN_VIP --> EN_L2_3_IT,0.399561548435085,0.2921401462630772,0.5344087576362475
IN_VIP --> EN_L3_5_IT_1,0.9872621957726965,0.01377517045070437,1.8609030185856255
IN_VIP --> EN_L3_5_IT_2,0.7969216992601342,0.004536420783814351,2.3432866684861797
IN_VIP --> EN_L3_5_IT_3,1.2926620151993142,0.0005936467661340388,3.2264718936556913
