,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Oligo:FLI1 -> INPP5D,0.04278331070553613,0.027387590795229167,0.02391487318549548,0.05991538942070996,0.06388159525228404,0.05637915107376717,0.04727871638039385,0.07593425677748761
Oligo:ETV6 -> PIK3R5,0.0385792515211591,0.008690963035543535,0.01005664146484636,0.06778470079212325,0.01699522863013346,0.011532318856554117,0.010513128302195288,0.022967733680892253
Astro:TCF7L1 -> CD44,0.1317267021811905,0.09359331006160891,0.11225430872157911,0.1605295949707871,0.07443619750882802,0.05435581611071799,0.0676734739619586,0.08785774998131773
Oligo:FLI1 -> ZC3HAV1,0.10881756682522799,0.0853598339410874,0.08748137053706025,0.13121453141138217,0.08466718178324799,0.0691433315461485,0.07344806942065782,0.09803866308309284
Oligo:FLI1 -> USP6NL,0.11011381165254472,0.09553960268914075,0.08393484123214216,0.13049040134444803,0.15881491671819187,0.1451830650836095,0.1405901213583948,0.17474324021538157
Immune:RUNX3 -> CD247,0.04665271854629625,0.048994993306541425,0.04453250009007709,0.04654169039428329,0.02088168388708906,0.008174212911176284,0.006266300708004245,0.03454311096458788
Endo:KLF2 -> MECOM,0.011743684802448055,0.00667218721982978,0.0008691080403985483,0.019716721974781987,0.003939038707510428,0.0001098886592221567,6.001101692916751e-06,0.00782013253456339
Oligo:FLI1 -> LPAR6,0.06527934739373731,0.04743545206443665,0.04370619435365926,0.08498787157842669,0.08391642567812105,0.06874580131540875,0.06434926932039452,0.10128531603834046
Micro:IRF8 -> FLI1,0.02801025471681812,0.006220904877547886,0.011950507001259162,0.04693480349423274,0.019236572654075468,0.0032266760859132747,0.005401757441880785,0.034158928544253946
Micro:IRF8 -> ADCY7,0.05350382208356274,0.012502098113414906,0.049928952525324845,0.07579211884775565,0.03461748781429198,0.018680005687966076,0.028829032130107908,0.04548045671954699
Oligo:RUNX1 -> CPVL,0.06189273767595741,0.04508620086677211,0.04646915620089356,0.07800779681808201,0.2350992302589271,0.23196575517881643,0.2239740418087887,0.24222856202405163
Oligo:FLI1 -> LCP2,0.06841433283149378,0.061021938135198524,0.05202304031129872,0.08030617643973899,0.06685226034872098,0.048532931035564164,0.04711084085308033,0.08588263475311975
Oligo:RUNX1 -> LDLRAD4,0.08303310236528269,0.062119045349375006,0.06441658455072985,0.10279838978051296,0.17356391315560113,0.15708871287518958,0.1531559506313236,0.1920054945579457
Micro:IRF8 -> RBM47,0.035692624676101126,0.00856727618590675,0.010812933578202934,0.06169514447014744,0.03698131566212114,0.018939600383192257,0.023535336737732997,0.052725162763779684
Oligo:FLI1 -> MAML3,0.07233804782431201,0.06146927292972322,0.05078026196909077,0.08855132819921704,0.1086919890386367,0.0918282675186682,0.09594385839445482,0.12349791512071191
Oligo:IKZF1 -> DLEU1,0.08221532907676954,0.07626273981632538,0.06534371688069561,0.09362742980502858,0.09323551810807983,0.08293899466939503,0.08449840636729898,0.1027523356978127
Micro:IRF8 -> ITGAX,0.047440551305692295,0.020148543875174677,0.021134499026458357,0.07423958116056809,0.01001887350903622,0.0016465768517861846,0.001851363508427288,0.018288776837965724
Micro:IRF8 -> CSF3R,0.05165371145240068,0.017471781416825306,0.014151322579221727,0.08749587090677785,0.07041914338701082,0.04102240436741508,0.04721666671504766,0.09671875123279029
Micro:NFATC2 -> MYO1F,0.03508595447260007,0.004770502779308108,0.017018099225749754,0.05927760794267127,0.022490460374301403,0.013580657228392324,0.01010708334694199,0.03313705046093568
Astro:TCF7L1 -> TCF7L2,0.16614779375827612,0.19012177010605308,0.18831462067654237,0.1430773921252545,0.05951228140776769,0.06650896050677715,0.09384353482248417,0.03884831515090474
Micro:IRF8 -> CD74,0.04374698643837028,0.01755364758662913,0.024345628033333806,0.0665443350667591,0.028874207007790125,0.01617300167682166,0.023560017442612997,0.03788190445586293
Oligo:ETV6 -> NFATC2,0.03500833111838198,0.003963740801130265,0.00814728992855939,0.06396114687191919,0.014055899639746124,0.009371724083828878,0.00964250400637668,0.0186046852343895
Oligo:IKZF1 -> DOCK2,0.049821791956211996,0.03850127362988649,0.03706129220411156,0.061862300995425,0.08321988515958745,0.06968092557796568,0.06587992351523124,0.09865934577257647
Micro:NFATC2 -> LY86,0.03239795184423838,0.006120237479879346,0.02598038588512621,0.04874559200597401,0.026823673670947627,0.0018176967826450566,0.0037292699396622936,0.05087386398074163
Oligo:IKZF1 -> DISC1,0.05678256823139379,0.04920717986121304,0.04159081821908405,0.06816613742263906,0.07556789770558522,0.04631082399075832,0.048682092742415986,0.10363933704458331
Oligo:ETV6 -> ARHGAP24,0.04816176654179992,0.02193673050165828,0.023540003889001366,0.07358516588827003,0.02369800483640396,0.014451311006027803,0.019816117922001796,0.030262295208793148
Oligo:ETV6 -> MEF2A,0.03877246744602043,0.01604344753862923,0.016298917197607184,0.06137375252392268,0.02330991711140792,0.014798335670779988,0.01630639163213924,0.03106747057135621
Oligo:IKZF1 -> DLEU7,0.08493233929706548,0.08375928133024024,0.07142097999868416,0.09227454792966877,0.09311057357765389,0.08157946708482898,0.07845271631999069,0.10620505545289799
Oligo:FLI1 -> PIK3R5,0.05493528333316426,0.041999531569139346,0.03617368279803631,0.07078395948274073,0.08755934073304183,0.07226287124941415,0.07146719329646929,0.10325364919314199
Micro:TAL1 -> SYK,0.023832588068145834,0.005767903386409519,0.010830548314027449,0.03936595028607321,0.020584392832298723,0.006523876758018287,0.013972766583588031,0.030920463993794303
Oligo:ETV6 -> WDFY4,0.03948361490444396,0.013436106411679524,0.015247255388362569,0.06462554890886688,0.018772193368329044,0.012389979350974842,0.01704552787760256,0.02282663312236938
Micro:IRF8 -> SH3TC1,0.045117732921735695,0.01730291261971801,0.020418563579622462,0.07137472774380117,0.02580378310319428,0.006606220360002699,0.008103928809248779,0.04425249162176282
Oligo:IKZF1 -> MEF2A,0.07917257665615127,0.07971510001731183,0.06917413510281493,0.08390053575223916,0.07176032943853827,0.0580288281620601,0.058325935594587285,0.08534327699875284
Micro:IRF8 -> VAV1,0.04224484050890034,0.015090828149826489,0.013122064172826048,0.07038323485647442,0.06713633167196228,0.04670432427410861,0.0464128131752159,0.08771409461926231
Oligo:RUNX1 -> C3,0.05401447119532213,0.03874992544739882,0.03562911094810464,0.07083942419289253,0.07365977482771605,0.06401344529693183,0.05238844782015371,0.08911860309688935
Oligo:RUNX1 -> DOCK11,0.0572344646796363,0.04471025531161648,0.0372234977976775,0.0735020528046256,0.09502545476468167,0.0680772266640264,0.06139027223667948,0.1253171600790104
Oligo:FLI1 -> GAB3,0.08029981485363617,0.06660710078135161,0.06091989004640377,0.09683613429339469,0.08576404448390185,0.0714392467614993,0.07429463429518404,0.09866114843946208
Immune:RUNX3 -> ITK,0.03821219084563074,0.041079361926805565,0.029919759089786058,0.04092482118296571,0.026363890705900467,0.005006203562139784,0.005001541185620386,0.04772390903792088
Micro:TAL1 -> INPP5D,0.04759380195315082,0.051565326068967125,0.02449906769628238,0.057155407023676934,0.020894236109264577,0.0034347267983412043,0.011479841924540041,0.03433118785708857
Oligo:FLI1 -> USP53,0.13084180389040032,0.10764113675537482,0.09514121167441508,0.16029243356590572,0.2042498553692029,0.1977501378693154,0.19056132537843204,0.21434397911453204
Oligo:FLI1 -> B4GALT1,0.11388076520708,0.0982771178786653,0.08487693768910846,0.13618450263027312,0.1326495340789624,0.12727546668554432,0.12199309985019063,0.14066478489005732
Oligo:FLI1 -> IL6ST,0.11512732630655423,0.09221433321516644,0.08626156311436949,0.14101670444834052,0.2010116445196244,0.18109163300690176,0.17558423508522716,0.22368535499318437
Oligo:RUNX1 -> IFNGR1,0.06407241907879578,0.05299884835023618,0.049307310102070484,0.07699175893143825,0.10290156243630218,0.09330193695288193,0.09107860422867914,0.11361285428182384
Micro:IRF8 -> INPP5D,0.042663425186722094,0.04819023363436228,0.009991548215238752,0.05623595944864365,0.04761973914290294,0.04204517373894177,0.02481023404537057,0.06181177439364975
Oligo:ETV6 -> SLA,0.038390512516874566,0.010227599410610938,0.012565997960701306,0.06538422634809302,0.028313705412666677,0.019565943540697947,0.02272472538071909,0.035482076364624845
Oligo:ETV6 -> TFEC,0.039896143048804296,0.013111976625103012,0.011496052113210429,0.0674882717284519,0.026966949593283423,0.0209990675685154,0.020104894054291125,0.033381918375163584
Oligo:IKZF1 -> ARHGAP22,0.07164308556744288,0.061488625617762464,0.05649628579139686,0.08429371543030613,0.04903026309335393,0.03254249743317952,0.04003448259760625,0.06177203617131501
PC:TBX15 -> NR2F2-AS1,0.009063903585496608,0.004876230431735505,0.004786097965085661,0.01329664297258267,0.006465747467069789,0.0002553209135236402,0.00038636508613382046,0.012610651934310902
EN_L2_3_IT:SRRM3 -> KHDRBS2,0.027522951829819956,0.03089996807228936,0.020737926914312213,0.02922695616633917,0.026035999729845733,0.00100319486156337,0.0014720835813090611,0.050834360238255286
Oligo:FLI1 -> PPARD,0.04779411828839966,0.02979746198421165,0.025207928735747013,0.06808554121682005,0.07239660070396671,0.0472171677569635,0.04197376141430399,0.10019773682229967
Micro:IRF8 -> ABCC4,0.03577072850934506,0.012537636993628358,0.013229422107942047,0.05865792746790496,0.03607738246011028,0.01360507598418014,0.02198671021588059,0.054358871820190224
