,variable,value,var_cat,category
329,CT,14,CT,nodes
330,CT,25,CT,nodes
331,CT,27,CT,nodes
332,CT,27,CT,nodes
333,CT,27,CT,nodes
334,CT,23,CT,nodes
335,CT,27,CT,nodes
336,CT,27,CT,nodes
337,CT,23,CT,nodes
338,CT,26,CT,nodes
339,CT,26,CT,nodes
340,CT,26,CT,nodes
341,CT,21,CT,nodes
342,CT,22,CT,nodes
343,CT,26,CT,nodes
344,CT,26,CT,nodes
345,CT,26,CT,nodes
346,CT,27,CT,nodes
347,CT,22,CT,nodes
348,CT,26,CT,nodes
349,CT,27,CT,nodes
350,CT,27,CT,nodes
351,CT,27,CT,nodes
352,CT,26,CT,nodes
353,CT,26,CT,nodes
354,CT,24,CT,nodes
355,CT,27,CT,nodes
356,CT,24,CT,nodes
357,CT,26,CT,nodes
358,CT,27,CT,nodes
359,CT,26,CT,nodes
360,CT,26,CT,nodes
361,CT,27,CT,nodes
362,CT,25,CT,nodes
363,CT,27,CT,nodes
364,CT,25,CT,nodes
365,CT,25,CT,nodes
366,CT,10,CT,nodes
367,CT,26,CT,nodes
368,CT,27,CT,nodes
369,CT,26,CT,nodes
370,CT,25,CT,nodes
371,CT,26,CT,nodes
372,CT,26,CT,nodes
373,CT,27,CT,nodes
374,CT,27,CT,nodes
375,CT,23,CT,nodes
376,CT,26,CT,nodes
377,CT,26,CT,nodes
378,CT,27,CT,nodes
379,CT,25,CT,nodes
380,CT,25,CT,nodes
381,CT,26,CT,nodes
382,CT,20,CT,nodes
383,CT,26,CT,nodes
384,CT,21,CT,nodes
385,CT,27,CT,nodes
386,CT,24,CT,nodes
387,CT,27,CT,nodes
388,CT,25,CT,nodes
389,CT,27,CT,nodes
390,CT,23,CT,nodes
391,CT,23,CT,nodes
392,CT,26,CT,nodes
393,CT,27,CT,nodes
394,CT,27,CT,nodes
395,CT,27,CT,nodes
396,CT,27,CT,nodes
397,CT,27,CT,nodes
398,CT,24,CT,nodes
399,CT,26,CT,nodes
400,CT,25,CT,nodes
401,CT,27,CT,nodes
402,CT,27,CT,nodes
403,CT,26,CT,nodes
404,CT,26,CT,nodes
405,CT,27,CT,nodes
406,CT,27,CT,nodes
407,CT,26,CT,nodes
408,CT,26,CT,nodes
409,CT,25,CT,nodes
410,CT,26,CT,nodes
411,CT,17,CT,nodes
412,CT,25,CT,nodes
413,CT,26,CT,nodes
414,CT,26,CT,nodes
415,CT,26,CT,nodes
416,CT,27,CT,nodes
417,CT,23,CT,nodes
418,CT,15,CT,nodes
419,CT,25,CT,nodes
420,CT,26,CT,nodes
421,CT,25,CT,nodes
422,CT,26,CT,nodes
423,CT,15,CT,nodes
424,CT,27,CT,nodes
425,CT,26,CT,nodes
426,CT,24,CT,nodes
427,CT,25,CT,nodes
