"","x"
"463","FES"
"464","R3HDM2"
"465","EPN2"
"466","EFR3B"
"467","SORCS3"
"468","PCNX1"
"469","IGSF9B"
"470","CNOT1"
"471","DOP1A"
"472","SAMD4A"
"473","KDM4C"
"474","DDN"
"475","ZCCHC14"
"476","SMG6"
"477","PPP1R13B"
"478","MAU2"
"479","ABCA5"
"480","PLA2G15"
"481","CADM2"
"482","PRPF40B"
"483","NGEF"
"484","BACE2"
"485","MOB4"
"486","GALNT2"
"487","MTHFD1L"
"488","DNAH1"
"489","SNED1"
"490","LTN1"
"491","PPP1R16B"
"492","RAB11FIP5"
"493","GIGYF2"
"494","ARHGEF26"
"495","EPC2"
"496","CNNM3"
"497","B9D1"
"498","TRAPPC3"
"499","LSM1"
"500","ZNF638"
"501","GNG7"
"502","SELENOH"
"503","JAKMIP3"
"504","ZNF740"
"505","MYO1H"
"506","KSR2"
"507","FAM177A1"
"508","LINC00922"
"509","TTLL6"
"510","ZNF615"
"511","C1orf167"
"512","LINC00303"
"513","CYB561D1"
"514","C3orf38"
"515","LINC00606"
"516","FAM86B3P"
"517","XKR6"
"518","NSMCE2"
"519","C11orf21"
"520","GULOP"
"521","KCNIP1"
"522","ZNRD1"
"523","HLA-DMB"
"524","HLA-DQA2"
"525","HLA-DRB2"
"526","HLA-DRB3"
"527","HLA-DRB6"
"528","HLA-DRB9"
"529","RFESD"
"530","APBA1"
"531","CCDC39"
"532","MSANTD1"
"533","EYS"
"534","SOX2-OT"
"535","FTCDNL1"
"536","HCN1"
"537","INHBA"
"538","KCNN2"
"539","GUSBP2"
"540","H1-12P"
"541","UBE2Q2P1"
"542","SNORC"
"543","SFTA2"
"544","LIN28B"
"545","AFF3"
"546","LIPC"
"547","MIR100HG"
"548","LMO7"
"549","LINC00898"
"550","LINC02232"
"551","LINC00243"
"552","VWC2L"
"553","ARL3"
"554","LRP4"
"555","MTCO3P1"
"556","MAN2A1"
"557","MAP4"
"558","DENND6B"
"559","LINC01239"
"560","MSH5"
"561","GGNBP1"
"562","MYH11"
"563","NAB2"
"564","RERE"
"565","NEK1"
"566","NEU1"
"567","NFATC2"
"568","NFIB"
"569","NPC1"
"570","ATP2B2"
"571","OPRD1"
"572","CYHR1"
"573","SLC45A1"
"574","ASAP1"
"575","NTM"
"576","PBX2"
"577","PCDH7"
"578","TMX2"
"579","ZDHHC2"
"580","FAM178B"
"581","PCDH12"
"582","FAM53C"
"583","COMMD10"
"584","SFMBT1"
"585","MPP6"
"586","SUFU"
"587","KDM3B"
"588","PEPD"
"589","PLCB4"
"590","PLCL1"
"591","ZFAND6"
"592","LRRN3"
"593","RRN3"
"594","TET2"
"595","GIPC2"
"596","NSD3"
"597","TTC12"
"598","SPATA6L"
"599","RBM23"
"600","ARHGEF10L"
"601","SMPD3"
"602","MAML3"
"603","ZNF823"
"604","GALNT10"
"605","CARMIL1"
"606","TENM3"
"607","WDR12"
"608","ARHGAP15"
"609","PRKD1"
"610","PRKG1"
"611","PRRG2"
"612","PAK6"
"613","PSMB9"
"614","BBX"
"615","PTGIS"
"616","TENM2"
"617","GRAMD1B"
"618","HECW2"
"619","SIPA1L2"
"620","CWC22"
"621","PTPRF"
"622","PTPRN2"
"623","SCAF1"
"624","MPP4"
"625","TRIM27"
"626","EXOC4"
"627","RPN2"
"628","ATXN7"
"629","PRDM14"
"630","RBKS"
"631","MROH6"
"632","TRAF3IP2-AS1"
"633","SGCD"
"634","CPEB1"
"635","LINC00461"
"636","GIGYF1"
"637","NDRG4"
"638","FER1L6"
"639","BMPR1B"
"640","BNIP3L"
"641","SPG7"
"642","SRPK2"
"643","STAU1"
"644","CNTN2"
"645","TBXAS1"
"646","TEAD1"
"647","TEP1"
"648","C2"
"649","CCDC192"
"650","SHISA9"
"651","TRIM26"
"652","ZSCAN9"
"653","ALMS1"
"654","GID4"
"655","CENPM"
"656","LILRP2"
"657","MAIP1"
"658","CORO7"
"659","FAM184A"
"660","GRTP1"
"661","CARF"
"662","CCDC102B"
"663","TUSC3"
"664","ATAT1"
"665","SEMA6D"
"666","LRRTM4"
"667","CCDC170"
"668","THOC7"
"669","UXS1"
"670","BRD3"
"671","COQ10B"
"672","ZKSCAN3"
"673","EEPD1"
"674","TMPRSS5"
"675","TAF15"
"676","OR5V1"
"677","OR12D3"
"678","SEH1L"
"679","ZNF93"
"680","H2AC10P"
"681","H2BC15"
"682","KATNAL2"
"683","IMMP2L"
"684","ADGRV1"
"685","BCAR3"
"686","SLC7A6OS"
"687","CMAHP"
"688","STK24"
"689","COA8"
"690","MAML2"
"691","AGBL4"
"692","LINGO1"
"693","HAT1"
"694","EIF3F"
"695","NOL4"
"696","STK19"
"697","HIP1R"
"698","ATP6V1E2"
"699","SLC7A6"
"700","DNAJA3"
"701","NEURL1"
"702","C12orf65"
"703","DGKI"
"704","CABLES1"
"705","RFT1"
"706","NDUFAF2"
"707","SNX29"
"708","SPECC1"
"709","TGFBRAP1"
"710","HS6ST1"
"711","POM121L2"
"712","SFXN5"
"713","MED26"
"714","AKAP6"
"715","STXBP5L"
"716","MRPL33"
"717","CEP41"
"718","RGS6"
"719","RALGPS1"
"720","PLCH2"
"721","PRORP"
"722","DCAF1"
"723","ZNF536"
"724","CLSTN3"
"725","TBC1D5"
"726","DMTF1"
"727","KMT2E"
"728","MVP"
"729","MTMR11"
"730","PLEKHO1"
